[GVNS-Pw(w1=0.70,w2=0.30)] Iter 0: Novo melhor! F=0.2310 (f1=1012.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 0: Novo melhor! F=0.1949 (f1=999.00, f2=2.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 0: Novo melhor! F=0.1921 (f1=986.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 1: Novo melhor! F=0.1889 (f1=995.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 3: Novo melhor! F=0.1694 (f1=982.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 3: Novo melhor! F=0.1609 (f1=954.00, f2=4.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 3: Novo melhor! F=0.1530 (f1=971.00, f2=2.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 3: Novo melhor! F=0.1214 (f1=961.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.70,w2=0.30)] Iter 53: Novo melhor! F=0.1122 (f1=966.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.70,w2=0.30)] Fim. Melhor F=0.1122 (f1=966.00, f2=0.00, P_cap=0.00)

[GVNS-Pw(w1=0.80,w2=0.20)] Solução inicial: F=737600.6000 (f1=904.00, f2=52.00, P_cap=737600.00)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 0: Novo melhor! F=0.1197 (f1=935.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 9: Novo melhor! F=0.1137 (f1=938.00, f2=3.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.80,w2=0.20)] Iter 22: Novo melhor! F=0.1128 (f1=918.00, f2=6.00, P_cap=0.00) (k=1)
