===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=3.78)] Solução inicial: F=699931.2222 (f1=909.00, f2=35.00, P_cap=386800.00)
[GVNS-Pe(eps=3.78)] Iter 0: Novo melhor! F=1156.0000 (f1=1156.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Iter 0: Novo melhor! F=1135.0000 (f1=1135.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Iter 0: Novo melhor! F=1114.0000 (f1=1114.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Iter 0: Novo melhor! F=1069.0000 (f1=1069.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Iter 2: Novo melhor! F=1061.0000 (f1=1061.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=3.78)] Iter 3: Novo melhor! F=1039.0000 (f1=1039.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Iter 5: Novo melhor! F=1032.0000 (f1=1032.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=3.78)] Iter 6: Novo melhor! F=1003.0000 (f1=1003.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Iter 8: Novo melhor! F=986.0000 (f1=986.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=3.78)] Fim. Melhor F=986.0000 (f1=986.00, f2=3.00, P_cap=0.00)

[GVNS-Pe(eps=5.67)] Solução inicial: F=1006654.3333 (f1=921.00, f2=31.00, P_cap=752400.00)
[GVNS-Pe(eps=5.67)] Iter 0: Novo melhor! F=1050.0000 (f1=1050.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 0: Novo melhor! F=1039.0000 (f1=1039.00, f2=4.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Iter 1: Novo melhor! F=1006.0000 (f1=1006.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 6: Novo melhor! F=1002.0000 (f1=1002.00, f2=5.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Iter 6: Novo melhor! F=997.0000 (f1=997.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 6: Novo melhor! F=983.0000 (f1=983.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 6: Novo melhor! F=963.0000 (f1=963.00, f2=4.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 6: Novo melhor! F=951.0000 (f1=951.00, f2=4.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Iter 23: Novo melhor! F=928.0000 (f1=928.00, f2=5.00, P_cap=0.00) (k=1)
