===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=0.00)] Iter 2: Novo melhor! F=1133.0000 (f1=1133.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 22: Novo melhor! F=1132.0000 (f1=1132.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 42: Novo melhor! F=1104.0000 (f1=1104.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=0.00)] Iter 61: Novo melhor! F=1094.0000 (f1=1094.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 75: Novo melhor! F=1059.0000 (f1=1059.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=0.00)] Fim. Melhor F=1059.0000 (f1=1059.00, f2=0.00, P_cap=0.00)

[GVNS-Pe(eps=1.89)] Solução inicial: F=1134404.1111 (f1=893.00, f2=40.00, P_cap=752400.00)
[GVNS-Pe(eps=1.89)] Iter 0: Novo melhor! F=18324.1111 (f1=1213.00, f2=2.00, P_cap=16000.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 0: Novo melhor! F=1259.0000 (f1=1259.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 3: Novo melhor! F=1236.0000 (f1=1236.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 3: Novo melhor! F=1166.0000 (f1=1166.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 12: Novo melhor! F=1163.0000 (f1=1163.00, f2=1.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=1.89)] Iter 17: Novo melhor! F=1135.0000 (f1=1135.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Iter 21: Novo melhor! F=1123.0000 (f1=1123.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 31: Novo melhor! F=1103.0000 (f1=1103.00, f2=1.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=1.89)] Iter 35: Novo melhor! F=1091.0000 (f1=1091.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=1.89)] Fim. Melhor F=1091.0000 (f1=1091.00, f2=1.00, P_cap=0.00)

[GVNS-Pe(eps=3.78)] Solução inicial: F=1235527.2222 (f1=905.00, f2=44.00, P_cap=832400.00)
[GVNS-Pe(eps=3.78)] Iter 0: Novo melhor! F=1173.0000 (f1=1173.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Iter 1: Novo melhor! F=1095.0000 (f1=1095.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=3.78)] Iter 3: Novo melhor! F=1086.0000 (f1=1086.00, f2=3.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Iter 4: Novo melhor! F=1043.0000 (f1=1043.00, f2=3.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=3.78)] Iter 14: Novo melhor! F=1041.0000 (f1=1041.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=3.78)] Iter 14: Novo melhor! F=1018.0000 (f1=1018.00, f2=3.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=3.78)] Iter 14: Novo melhor! F=1014.0000 (f1=1014.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=3.78)] Iter 42: Novo melhor! F=1004.0000 (f1=1004.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=3.78)] Fim. Melhor F=1004.0000 (f1=1004.00, f2=2.00, P_cap=0.00)

[GVNS-Pe(eps=5.67)] Solução inicial: F=811837.3333 (f1=904.00, f2=40.00, P_cap=467600.00)
[GVNS-Pe(eps=5.67)] Iter 0: Novo melhor! F=1065.0000 (f1=1065.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 0: Novo melhor! F=1058.0000 (f1=1058.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 0: Novo melhor! F=965.0000 (f1=965.00, f2=3.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Iter 1: Novo melhor! F=959.0000 (f1=959.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 9: Novo melhor! F=954.0000 (f1=954.00, f2=4.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=5.67)] Iter 18: Novo melhor! F=947.0000 (f1=947.00, f2=5.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Iter 30: Novo melhor! F=946.0000 (f1=946.00, f2=5.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Iter 33: Novo melhor! F=940.0000 (f1=940.00, f2=4.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Iter 47: Novo melhor! F=933.0000 (f1=933.00, f2=5.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Iter 59: Novo melhor! F=928.0000 (f1=928.00, f2=4.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Iter 63: Novo melhor! F=926.0000 (f1=926.00, f2=5.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=5.67)] Iter 63: Novo melhor! F=921.0000 (f1=921.00, f2=5.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=5.67)] Fim. Melhor F=921.0000 (f1=921.00, f2=5.00, P_cap=0.00)

[GVNS-Pe(eps=7.56)] Solução inicial: F=893790.4444 (f1=946.00, f2=20.00, P_cap=768400.00)
[GVNS-Pe(eps=7.56)] Iter 0: Novo melhor! F=1099.0000 (f1=1099.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 0: Novo melhor! F=928.0000 (f1=928.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Fim. Melhor F=928.0000 (f1=928.00, f2=7.00, P_cap=0.00)

[GVNS-Pe(eps=9.44)] Solução inicial: F=1288893.5556 (f1=938.00, f2=66.00, P_cap=722400.00)
[GVNS-Pe(eps=9.44)] Iter 0: Novo melhor! F=1007.0000 (f1=1007.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 0: Novo melhor! F=1005.0000 (f1=1005.00, f2=8.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.44)] Iter 1: Novo melhor! F=968.0000 (f1=968.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 3: Novo melhor! F=962.0000 (f1=962.00, f2=6.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.44)] Iter 3: Novo melhor! F=945.0000 (f1=945.00, f2=7.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.44)] Iter 3: Novo melhor! F=927.0000 (f1=927.00, f2=8.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.44)] Iter 11: Novo melhor! F=919.0000 (f1=919.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 29: Novo melhor! F=911.0000 (f1=911.00, f2=9.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.44)] Fim. Melhor F=911.0000 (f1=911.00, f2=9.00, P_cap=0.00)

[GVNS-Pe(eps=11.33)] Solução inicial: F=889950.6667 (f1=884.00, f2=31.00, P_cap=692400.00)
[GVNS-Pe(eps=11.33)] Iter 0: Novo melhor! F=1051.0000 (f1=1051.00, f2=10.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=11.33)] Iter 0: Novo melhor! F=983.0000 (f1=983.00, f2=10.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=11.33)] Iter 0: Novo melhor! F=978.0000 (f1=978.00, f2=10.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=11.33)] Iter 0: Novo melhor! F=937.0000 (f1=937.00, f2=11.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=11.33)] Iter 2: Novo melhor! F=933.0000 (f1=933.00, f2=5.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=11.33)] Iter 2: Novo melhor! F=926.0000 (f1=926.00, f2=11.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=11.33)] Iter 3: Novo melhor! F=923.0000 (f1=923.00, f2=11.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=11.33)] Iter 3: Novo melhor! F=911.0000 (f1=911.00, f2=10.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=11.33)] Iter 19: Novo melhor! F=909.0000 (f1=909.00, f2=8.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=11.33)] Iter 23: Novo melhor! F=907.0000 (f1=907.00, f2=10.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=11.33)] Fim. Melhor F=907.0000 (f1=907.00, f2=10.00, P_cap=0.00)

